,Metal,Electronic,Rock,Pop,Dance,Feel Good,Jazz,Suspense,Hip-Hop,Romance,Indie,Dramatic,Acoustic,Chill,Patriotic,Country
acousticness,0.01871820210903874,0.1256030888571429,0.10892440923641723,0.26356718343195285,0.16102397660167142,0.24381861904761895,0.7464206366533869,0.6471037290640393,0.13338725876288668,0.3218612851288059,0.1797985605305037,0.4781598588454379,0.5707751823468329,0.3384630863999995,0.24578361463414677,0.16407531054977723
danceability,0.4481133428981348,0.6670761904761907,0.5357239353891327,0.644940828402367,0.6622417827298044,0.6688496240601496,0.5474262948207169,0.31771330049261093,0.7154072164948453,0.6110257611241221,0.55810875331565,0.3438504655493482,0.6114745586708203,0.6390847999999996,0.5663024390243906,0.57169985141159
energy,0.8860444763271167,0.7180650793650799,0.771003671071953,0.6223491124260352,0.7021364902506964,0.6605062656641606,0.30362208764940257,0.2607116206896553,0.7142869415807561,0.6052838407494142,0.7105615384615382,0.3894244134078212,0.4221131879543099,0.5850544000000001,0.671386829268292,0.7506285289747406
instrumentalness,0.06394343064562409,0.2390591516507935,0.06500183698237882,0.016607471982248524,0.08176429178272977,0.06709726340852128,0.4373254125976093,0.6588528548768472,0.02671214817869417,0.015239203360655726,0.06091381376657822,0.569932757150838,0.023030054288681205,0.09733629436800001,0.022162181723577243,0.007871215928677573
speechiness,0.08842855093256814,0.06123063492063484,0.05482584434654917,0.07785532544378702,0.08553927576601672,0.0793147869674185,0.0522033466135458,0.05624926108374387,0.17511288659793794,0.06419672131147543,0.060605305039787775,0.06004636871508376,0.05798909657320871,0.08061711999999997,0.04619024390243904,0.04909628528974738
valence,0.3981516499282639,0.43130968253968244,0.583409911894274,0.4972399408284025,0.5704894150417829,0.6034646616541358,0.48960908366533895,0.20850049261083736,0.5513367697594503,0.47002107728337267,0.5247915119363397,0.22813761638733715,0.4485036344755973,0.4454395200000002,0.5961538211382116,0.6013279346210992

